1;0024-JOFN;2;11:04 AM;2025-01-01;10:00 AM-12:00 PM;morning;cold;autumn
2;0055-QDFV;2;05:44 PM;2025-01-01;04:00 PM-06:00 PM;afternoon;cold;autumn
3;0075-SVBD;4;03:40 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;winter
4;0091-BBDP;4;05:58 PM;2025-01-01;04:00 PM-06:00 PM;afternoon;rainy;spring
5;0029-JZHX;4;05:21 PM;2025-01-01;04:00 PM-06:00 PM;afternoon;cold;autumn
6;0089-DTJM;4;11:52 AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;spring
7;0068-ZBEG;3;11:38 AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;autumn
8;0045-ZGZR;4;10:55 AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;autumn
9;0106-LIHD;4;02:29 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;winter
10;0035-PMEQ;2;12:55 PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;autumn
11;0023-IDPX;3;06:22 PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;autumn
12;0032-FMGN;4;02:37 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;cold;spring
13;0107-UCBP;4;02:22 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;autumn
14;0019-VCHX;3;12:38 PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;spring
15;0018-BSYV;2;05:45 PM;2025-01-01;04:00 PM-06:00 PM;afternoon;cold;autumn
16;0084-LQRN;4;03:10 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;winter
17;0033-CSOY;3;12:22 PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;winter
18;0082-TBBS;4;11:46 AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;winter
19;0085-YDKT;4;01:59 PM;2025-01-01;12:00 PM-02:00 PM;midday;rainy;spring
20;0060-KYIL;4;02:10 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;cold;winter
21;0071-WWTO;2;07:00 PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;spring
22;0023-NIOY;3;03:09 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;autumn
23;0015-DEIT;4;06:52 PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;winter
24;0058-USBO;4;06:28 PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;spring
25;0060-YGFO;3;02:57 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;cold;spring
26;0073-WUZH;3;02:14 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;autumn
27;0022-WRSW;2;05:11 PM;2025-01-01;04:00 PM-06:00 PM;afternoon;rainy;spring
28;0033-KQYU;3;06:09 PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;autumn
29;0043-VZRY;2;05:31 PM;2025-01-01;04:00 PM-06:00 PM;afternoon;cold;spring
30;0076-HDLJ;3;01:59 PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;autumn
31;0066-RUPW;3;10:47 AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;winter
32;0084-OZKP;4;06:15 PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;autumn
33;0071-GUPG;4;11:19 AM;2025-01-01;10:00 AM-12:00 PM;morning;cold;autumn
34;0060-PFYM;3;01:43 PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;spring
35;0035-MNLY;3;02:02 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;spring
36;0045-HKIO;3;06:08 PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;winter
37;0108-JKQE;4;12:27 PM;2025-01-01;12:00 PM-02:00 PM;midday;cold;winter
38;0086-BNTK;4;11:16 AM;2025-01-01;10:00 AM-12:00 PM;morning;cold;spring
39;0101-GRPS;3;10:27 AM;2025-01-01;10:00 AM-12:00 PM;morning;cold;spring
40;0049-NTFE;4;05:40 PM;2025-01-01;04:00 PM-06:00 PM;afternoon;rainy;spring
41;0068-QUUD;2;10:09 AM;2025-01-01;10:00 AM-12:00 PM;morning;rainy;autumn
42;0060-TZLE;3;06:41 PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;spring
43;0058-QUZL;2;07:00 PM;2025-01-01;06:00 PM-07:00 PM;evening;rainy;spring
44;0076-HOJJ;2;10:05 AM;2025-01-01;10:00 AM-12:00 PM;morning;cold;autumn
45;0050-CBME;4;05:16 PM;2025-01-01;04:00 PM-06:00 PM;afternoon;cold;spring
46;0048-JFEB;4;07:00 PM;2025-01-01;06:00 PM-07:00 PM;evening;cold;winter
47;0084-NCLS;4;02:13 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;winter
48;0075-CZFE;2;03:27 PM;2025-01-01;02:00 PM-04:00 PM;afternoon;rainy;autumn
49;0057-FQDI;4;07:00 PM;2025-01-01;06:00 PM-07:00 PM;evening;cold;winter
